id,zona,categoria,titulo,urgencia,nivel_uso,node_mode,resumen,variable,public_popup,zona_asignada,publicable,requiere_validacion,precision_geografica,etica,pct_alerta_zona,nivel_zona,score_zona
per_campus_caminos_noche,UNIVERSIDAD AUTONOMA CHAPINGO,percepcion_espacio,Caminos internos de noche,alta,PUBLICO_AGREGADO,zona_offset,Alta alerta/evitación en caminos internos nocturnos; requiere validación por recorridos de iluminación y vigilancia.,alerta_evitacion_nocturna,Síntesis agregada; no corresponde a incidente puntual.,UNIVERSIDAD AUTONOMA CHAPINGO,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
per_labs_aulas_noche,UNIVERSIDAD AUTONOMA CHAPINGO,percepcion_espacio,Laboratorios y aulas de noche,alta,PUBLICO_AGREGADO,zona_offset,Espacios académicos nocturnos aparecen como foco de alerta por aislamiento y baja actividad.,espacio_academico_nocturno,Nodo agregado de percepción.,UNIVERSIDAD AUTONOMA CHAPINGO,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
per_internado_noche,UNIVERSIDAD AUTONOMA CHAPINGO,sensible,Residencias/internado de noche,alta,NO_PUBLICAR_SENSIBLE,zona_offset,Información sensible; no publicar ubicación ni popup puntual.,residencial_institucional,No publicar exacto.,UNIVERSIDAD AUTONOMA CHAPINGO,no,no,centroide_zona_offset,NO PUBLICAR: punto/tema sensible; conservar sólo para análisis interno agregado.,41.56,alta,0.825
per_banos_internado,UNIVERSIDAD AUTONOMA CHAPINGO,sensible,Baños/residencias,alta,NO_PUBLICAR_SENSIBLE,zona_offset,Espacio sensible; conservar sólo como indicador agregado interno.,espacio_confinado_sensible,No publicar exacto.,UNIVERSIDAD AUTONOMA CHAPINGO,no,no,centroide_zona_offset,NO PUBLICAR: punto/tema sensible; conservar sólo para análisis interno agregado.,41.56,alta,0.825
per_comedor_explanadas_noche,UNIVERSIDAD AUTONOMA CHAPINGO,percepcion_espacio,Comedor y explanadas de noche,media,PUBLICO_AGREGADO,zona_offset,Espacios de concentración nocturna con alerta media; útil para validar iluminación y flujo de personas.,espacio_comunitario_nocturno,Nodo agregado de percepción.,UNIVERSIDAD AUTONOMA CHAPINGO,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
per_canchas_deportivas,UNIVERSIDAD AUTONOMA CHAPINGO,percepcion_espacio,Canchas y áreas deportivas,media,PUBLICO_AGREGADO,zona_offset,Zona deportiva mencionada como espacio de cuestionamiento/aislamiento; requiere validación horaria.,espacio_deportivo,Nodo agregado.,UNIVERSIDAD AUTONOMA CHAPINGO,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
tray_salitreria,SALITRERIA,trayecto_perimetral,Trayecto Salitrería–Campus,muy_alta,PUBLICO_AGREGADO,zona_offset,Trayecto con alta alerta/evitación en encuesta; requiere digitalizar ruta peatonal y validar iluminación.,trayecto_perimetral,Percepción agregada por trayecto.,SALITRERIA,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,87.5,media,0.594
tray_cooperativo,COOPERATIVO/CABAÑAS,trayecto_perimetral,Trayecto Cooperativo/Cabañas–Campus,alta,PUBLICO_AGREGADO,zona_offset,Trayecto asociado a puente y tramo oscuro; requiere validación de campo.,trayecto_perimetral,Percepción agregada por trayecto.,COOPERATIVO/CABAÑAS,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,80.95,media,0.631
tray_issste_huexotla,TRAMO ISSSTE - CHAPINGO,trayecto_perimetral,Trayecto ISSSTE/Huexotla–Campus,muy_alta,PUBLICO_AGREGADO,zona_offset,"Trayecto con señal alta en ficha y encuesta; requiere revisión de alumbrado, asaltos reportados y movilidad nocturna.",trayecto_perimetral,Percepción agregada por trayecto.,UNIVERSIDAD AUTONOMA CHAPINGO,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
tray_boyeros_dicifo,BOYEROS,trayecto_perimetral,Trayecto DICIFO–Boyeros,media_alta,PUBLICO_AGREGADO,zona_offset,Tramo descrito como aislado y con baja iluminación; requiere levantar datos participativos específicos.,trayecto_perimetral,Nodo de hipótesis a validar.,BOYEROS,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,0.0,baja,0.175
